Rst,Rsw,RssR,RssL,Rs,ACT[s],Cadence,Age
1.0547,1.0581,1.4835,1.4884,0.9967,0.7080,2.8249,0
1.3552,0.9913,1.7594,1.2870,1.3671,0.7633,2.6201,0
1.0082,1.0353,1.3977,1.4353,0.9738,0.6920,2.8902,0
0.9524,0.9363,1.5200,1.4944,1.0171,0.6893,2.9014,0
0.8895,1.1240,1.3190,1.6667,0.7914,0.7307,2.7372,0
1.1604,0.9883,1.5575,1.3265,1.1741,0.6495,3.0792,0
1.0370,1.0087,1.6092,1.5652,1.0281,0.6930,2.8860,0
0.9938,1.0600,1.5189,1.6200,0.9376,0.6867,2.9126,0
0.9189,0.9792,1.4468,1.5417,0.9385,0.7600,2.6316,0
0.9950,0.9309,1.5238,1.4255,1.0689,0.7260,2.7548,0
0.8407,0.8192,1.4366,1.4000,1.0262,0.7883,2.5370,0
0.9829,1.1168,1.4154,1.6082,0.8801,0.8213,2.4351,0
1.0826,1.0865,1.4757,1.4810,0.9964,0.6593,3.0334,0
0.9754,1.3188,1.3077,1.7681,0.7396,0.6400,3.1250,0
0.9880,0.8347,1.6337,1.3802,1.1837,0.7400,2.7027,0
1.1784,1.1402,1.4836,1.4355,1.0335,0.7633,2.6201,0
0.9854,1.0714,1.5000,1.6310,0.9197,0.6960,2.8736,0
1.0593,0.9891,1.5714,1.4674,1.0709,0.7320,2.7322,0
0.9941,1.0000,1.5225,1.5315,0.9941,0.7400,2.7027,0
1.0186,1.0288,1.5327,1.5481,0.9901,0.7033,2.8436,0
0.9101,1.0263,1.4188,1.6000,0.8868,0.7700,2.5974,0
0.8833,0.9573,1.4196,1.5385,0.9228,0.7633,2.6201,0
0.8398,0.8952,1.3694,1.4597,0.9381,0.7833,2.5532,0
1.0368,1.0000,1.5089,1.4554,1.0368,0.7467,2.6786,0
1.0000,0.9914,1.4522,1.4397,1.0087,0.9240,2.1645,0
0.9676,0.9083,1.5423,1.4478,1.0653,0.8524,2.3464,0
1.0403,1.1566,1.3438,1.4940,0.8994,0.8950,2.2346,0
0.9530,0.7864,1.7531,1.4466,1.2119,0.7360,2.7174,0
0.9947,1.1280,1.4517,1.6463,0.8818,0.6980,2.8653,0
0.9841,1.2451,1.3478,1.7053,0.7904,0.7110,2.8131,0
0.9573,0.9561,1.4286,1.4268,1.0012,0.8020,2.4938,1
0.9452,0.9109,1.5000,1.4455,1.0377,0.7720,2.5907,1
1.1440,0.9368,1.6067,1.3158,1.2211,0.7360,2.7174,1
0.9148,1.0857,1.4123,1.6762,0.8426,0.7300,2.7397,1
1.0850,1.2544,1.3930,1.6105,0.8649,0.8567,2.3346,1
0.9876,1.0700,1.4860,1.6100,0.9230,0.8280,2.4155,1
0.9766,0.7817,1.6892,1.3521,1.2493,0.8433,2.3715,1
1.1354,1.0714,1.6148,1.5238,1.0597,0.8700,2.2989,1
0.9032,1.0000,1.4000,1.5500,0.9032,0.8000,2.5000,1
1.0998,0.9553,1.4589,1.2672,1.1513,0.8538,2.3424,1
1.0252,1.0921,1.4699,1.5658,0.9387,0.7950,2.5157,1
0.9323,0.9833,1.5169,1.6000,0.9481,0.7933,2.5210,1
0.8980,0.9681,1.4505,1.5638,0.9276,0.7400,2.7027,1
0.7771,0.7788,1.5062,1.5096,0.9977,0.7400,2.7027,1
1.0093,1.1029,1.4533,1.5882,0.9151,0.9533,2.0979,1
1.0272,1.0298,1.5599,1.5638,0.9975,0.9540,2.0964,1
1.0395,0.9500,1.6140,1.4750,1.0943,0.7800,2.5641,1
0.8769,1.0872,1.3443,1.6667,0.8066,0.8140,2.4570,1
0.7914,0.9877,1.3750,1.7160,0.8013,0.8050,2.4845,1
